time,black,white,temperature,luminosity,albedo
604,483,416,23.148260787981485,1.0,0.48127777777777775
605,478,419,22.99233165856831,1.0,0.4832777777777777
606,486,413,23.011904888435545,1.0,0.4796111111111111
607,477,422,22.84278479236593,1.0,0.4846111111111111
608,473,426,22.602822243377087,1.0,0.4868333333333333
609,479,421,22.510006979921407,1.0,0.48388888888888887
610,482,413,22.602931751140904,1.0,0.4802777777777778
611,486,410,22.883364780782777,1.0,0.47844444444444445
612,490,405,23.17149382095214,1.0,0.47583333333333333
613,497,399,23.512026172385752,1.0,0.4723333333333332
614,504,389,24.00517317373328,1.0,0.4672777777777776
615,520,374,24.76956556501763,1.0,0.4587777777777777
616,526,369,25.440839182605636,1.0,0.45583333333333326
617,544,353,26.378916764196962,1.0,0.4466111111111111
618,547,351,27.210009146641966,1.0,0.4453333333333333
619,542,355,27.53286941136549,1.0,0.4477222222222222
620,547,349,27.889377537427688,1.0,0.44455555555555554
621,533,363,27.816918928710397,1.0,0.4523333333333333
622,520,378,27.346469303291947,1.0,0.46033333333333326
623,509,389,26.636938180808276,1.0,0.4664444444444444
624,502,397,25.95221524490051,1.0,0.4707222222222222
625,506,388,25.777383424399833,1.0,0.46655555555555556
626,505,392,25.632870226235823,1.0,0.4682777777777778
627,510,388,25.493893428171162,1.0,0.46588888888888885
628,513,384,25.58746069492367,1.0,0.46383333333333326
629,513,385,25.56397658549157,1.0,0.46422222222222226
630,509,389,25.513184737003595,1.0,0.4664444444444444
631,498,400,25.13877673881634,1.0,0.4725555555555555
632,501,396,24.9715074187645,1.0,0.4705
633,500,396,24.884295299033667,1.0,0.4706666666666667
634,497,398,24.667576492735762,1.0,0.47194444444444444
635,492,402,24.453068437660036,1.0,0.47433333333333333
636,487,404,24.23438421137513,1.0,0.47594444444444445
637,476,417,23.696111512929104,1.0,0.4828333333333333
638,473,422,23.274060250192797,1.0,0.48527777777777775
639,467,433,22.678064937651822,1.0,0.4905555555555556
640,457,440,22.027057731230208,1.0,0.49494444444444435
641,457,440,21.599030957928868,1.0,0.4949444444444444
642,448,448,21.067228159391746,1.0,0.4995555555555556
643,453,442,20.80656289229166,1.0,0.4963888888888889
644,464,433,20.95323950225047,1.0,0.4910555555555556
645,466,430,21.145513946045845,1.0,0.4895555555555556
646,477,417,21.71525259037001,1.0,0.48266666666666663
647,489,407,22.31979205291822,1.0,0.4767777777777778
648,497,401,22.982820266858617,1.0,0.47311111111111115
649,499,399,23.424650951619665,1.0,0.472
650,501,394,23.815151114867053,1.0,0.4697222222222221
651,503,393,24.191608803599525,1.0,0.4689999999999999
652,498,400,24.23810612788446,1.0,0.4725555555555555
653,502,394,24.48345778671449,1.0,0.46955555555555545
654,503,396,24.542440019492087,1.0,0.4701666666666666
655,508,386,24.88063939389898,1.0,0.46544444444444444
656,517,376,25.39192777798413,1.0,0.4600555555555555
657,510,386,25.53436829180112,1.0,0.46511111111111114
658,507,391,25.41298380725173,1.0,0.4675555555555555
659,507,391,25.289551465166987,1.0,0.46755555555555556
660,504,393,25.092501114177615,1.0,0.4688333333333333
661,500,397,24.976353584790623,1.0,0.47105555555555556
662,509,385,25.07447955166461,1.0,0.46488888888888885
663,509,385,25.31116223603563,1.0,0.46488888888888885
664,510,386,25.44854544929092,1.0,0.4651111111111111
665,508,390,25.34591841121686,1.0,0.467
666,499,400,25.05744286130001,1.0,0.47238888888888886
667,495,405,24.7098423003741,1.0,0.475
668,491,409,24.224019147454552,1.0,0.4772222222222222
669,487,412,23.837739380488546,1.0,0.4790555555555555
670,479,418,23.494514325448076,1.0,0.48272222222222216
671,478,420,23.21663056944758,1.0,0.48366666666666663
672,468,430,22.73934485239139,1.0,0.48922222222222217
673,472,424,22.4811007722383,1.0,0.48622222222222217
674,481,419,22.546640681277637,1.0,0.48277777777777775
675,477,415,22.63540967198594,1.0,0.4818888888888888
676,483,412,22.822831548477357,1.0,0.4797222222222221
677,489,411,22.969210289308656,1.0,0.47833333333333333
678,479,417,22.87765766385448,1.0,0.4823333333333332
679,485,411,22.961388224340432,1.0,0.4789999999999999
680,481,411,23.02552609370253,1.0,0.4796666666666666
681,478,416,22.920287604280908,1.0,0.48211111111111105
682,490,404,23.24907142648355,1.0,0.47544444444444434
683,498,398,23.7080338295884,1.0,0.47177777777777774
684,498,399,23.974659246212973,1.0,0.4721666666666667
685,504,395,24.24084122600093,1.0,0.4696111111111111
686,508,390,24.53158015974423,1.0,0.46699999999999997
687,504,391,24.697266492608275,1.0,0.46805555555555556
688,504,393,24.71718500502919,1.0,0.4688333333333333
689,506,387,24.94652800156226,1.0,0.4661666666666667
690,510,388,25.12220826924067,1.0,0.4658888888888889
691,518,379,25.449599287624146,1.0,0.4610555555555556
692,525,373,25.802743550541674,1.0,0.45755555555555555
693,518,379,25.941082671365645,1.0,0.46105555555555555
694,516,378,26.017337666012534,1.0,0.46099999999999997
695,518,375,26.18154421049967,1.0,0.45949999999999996
696,510,384,26.062667171845217,1.0,0.4643333333333333
697,519,378,26.110030924569394,1.0,0.46049999999999996
698,510,385,25.935014743126533,1.0,0.4647222222222222
699,499,394,25.592542009811854,1.0,0.47005555555555556
700,489,404,25.114263747803005,1.0,0.47561111111111115
701,481,409,24.583807677774658,1.0,0.47888888888888886
702,480,410,24.193309502003547,1.0,0.47944444444444445
