experiment,replication,seed,N,S,repairers,failure_mean,repair_mean,crash_time,mean_queue,utilization,area_queue,area_busy,final_healthy,final_broken
4,34,714034,5,3,2,100.0,1.0,568284.75530689,2.878355303692205e-5,0.024782647761769933,16.357254394450138,28167.20183830854,4,4
4,35,714035,5,3,2,100.0,1.0,3.802784047474825e6,2.802264867704041e-5,0.024922268467957892,106.56408135704078,189548.00991367022,4,4
4,36,714036,5,3,2,100.0,1.0,336852.3229986186,1.8730732188627686e-5,0.02495364264022081,6.3094906492042355,16811.384981271523,4,4
4,37,714037,5,3,2,100.0,1.0,310613.53103532793,3.8111443026770544e-5,0.02525447340393299,11.837929891396925,15688.762316866809,4,4
4,38,714038,5,3,2,100.0,1.0,525619.9164678213,3.453435276399458e-5,0.025211302878001052,18.15194361508111,26503.125825559713,4,4
4,39,714039,5,3,2,100.0,1.0,105917.32512239963,7.158955456893199e-6,0.023465844987792157,0.7582574126645341,4970.879065687627,4,4
4,40,714040,5,3,2,100.0,1.0,1.1673693235740508e6,2.907552792087129e-5,0.025166964457950063,33.94187936154594,58758.28455137869,4,4
4,41,714041,5,3,2,100.0,1.0,901342.7092076514,2.9830460311805058e-5,0.025008430199236195,26.887467914353692,45082.332457619996,4,4
4,42,714042,5,3,2,100.0,1.0,396659.18853673904,1.7786343859062337e-5,0.025108363978369685,7.055116722171078,19918.926562290417,4,4
4,43,714043,5,3,2,100.0,1.0,288133.9290955501,2.4532539021632523e-5,0.024899526434053024,7.068656858992881,14348.796768124419,4,4
4,44,714044,5,3,2,100.0,1.0,144926.2573082507,1.4567844161332241e-5,0.025480348475210475,2.111263131351734,7385.543078844494,4,4
4,45,714045,5,3,2,100.0,1.0,1.1066502592676266e6,2.744224448525136e-5,0.025037577751363307,30.368966974489013,55415.68381995912,4,4
4,46,714046,5,3,2,100.0,1.0,285325.11610872194,2.9917204034659138e-5,0.024846353450217726,8.536129714837443,14178.577366123433,4,4
4,47,714047,5,3,2,100.0,1.0,938183.7318282604,3.6306557621619555e-5,0.02536619543674957,34.0622217192888,47596.303794269406,4,4
4,48,714048,5,3,2,100.0,1.0,1.0569087614778825e6,3.3567397274289866e-5,0.025029465325853404,35.47767627920575,52907.72239600265,4,4
4,49,714049,5,3,2,100.0,1.0,1.3102205980092054e6,3.456788576449998e-5,0.025024205410598986,45.29155595827706,65574.4587555604,4,4
4,50,714050,5,3,2,100.0,1.0,182713.7765383676,3.324728134218915e-5,0.02509541144250806,6.074736333664987,9170.55479688962,4,4
4,51,714051,5,3,2,100.0,1.0,690756.8473857789,2.2645537086318048e-5,0.025116133792888254,15.642559805102792,34698.28279458983,4,4
4,52,714052,5,3,2,100.0,1.0,933548.1551457851,3.407265803652252e-5,0.025262659215004604,31.808467050908803,47167.81780848843,4,4
4,53,714053,5,3,2,100.0,1.0,2.1242325147298393e6,3.02684821059894e-5,0.02507060739690678,64.29729386106101,106511.5987930716,4,4
4,54,714054,5,3,2,100.0,1.0,670482.4943002712,1.5095503503287048e-5,0.024957127279272115,10.121270841602382,33466.633897551415,4,4
4,55,714055,5,3,2,100.0,1.0,882744.975979122,2.7820902859402856e-5,0.024962913872777524,24.55876222634106,44071.773613987774,4,4
4,56,714056,5,3,2,100.0,1.0,147561.64151710697,4.0829278082273786e-5,0.024741240617294703,6.024835295778757,7301.716157315454,4,4
4,57,714057,5,3,2,100.0,1.0,1.4261416669747604e6,2.6285005296688255e-5,0.024997153814800815,37.486141270259395,71298.96522212905,4,4
4,58,714058,5,3,2,100.0,1.0,876359.0395395664,2.3619173854521737e-5,0.02500266082567798,20.698876513866708,43822.61565424939,4,4
4,59,714059,5,3,2,100.0,1.0,288356.7288877043,2.265480517671987e-5,0.02506708503051078,6.532665514347173,14456.525284296056,4,4
4,60,714060,5,3,2,100.0,1.0,189588.699601826,2.2143689687207414e-5,0.025072485768578512,4.198193332184019,9506.919945300178,4,4
4,61,714061,5,3,2,100.0,1.0,878230.6838712296,2.2546213013306735e-5,0.02505563312289001,19.800776073382792,44009.25162468466,4,4
4,62,714062,5,3,2,100.0,1.0,394736.93419251236,1.840419468041077e-5,0.02486613328283682,7.264815384427493,19631.162434578797,4,4
4,63,714063,5,3,2,100.0,1.0,233279.2702019643,3.295003583269087e-5,0.02512473543743022,7.686560312178699,11722.159893722304,4,4
4,64,714064,5,3,2,100.0,1.0,1.8613937576645543e6,2.8627703719383437e-5,0.02486270489545665,53.287428999530675,92558.56738211792,4,4
4,65,714065,5,3,2,100.0,1.0,923490.5753318071,2.7971121087968805e-5,0.024970901956575958,25.831066706203956,46120.78522886496,4,4
4,66,714066,5,3,2,100.0,1.0,383959.9119490605,2.3081149886482903e-5,0.02484947158327613,8.862236278097043,19082.401842190768,4,4
4,67,714067,5,3,2,100.0,1.0,676516.5838723578,3.3813545892151045e-5,0.024822033792188416,22.875424555569225,33585.03501171107,4,4
4,68,714068,5,3,2,100.0,1.0,1.589412393911367e6,3.2198906288019694e-5,0.02500077052105248,51.17734072456915,79473.06904698952,4,4
4,69,714069,5,3,2,100.0,1.0,220892.61371530485,2.256258558594228e-5,0.025294926093047378,4.983908502254053,11174.9246768574,4,4
4,70,714070,5,3,2,100.0,1.0,601149.058625964,2.555373976694046e-5,0.024968593554291218,15.361606605269117,30019.693020752955,4,4
4,71,714071,5,3,2,100.0,1.0,393764.08604053385,2.6440138749467506e-5,0.025066603120122925,10.411177069468977,19740.656135471996,4,4
4,72,714072,5,3,2,100.0,1.0,666802.4826003383,2.4528482211628168e-5,0.02477725586654165,16.3556528331319,33043.071447667535,4,4
