experiment,λ,c,time,queue,busy
4,0.3,2,15778.347093730388,0,0
4,0.3,2,15844.922397923345,0,1
4,0.3,2,15911.4977021163,0,0
4,0.3,2,15978.073006309254,0,0
4,0.3,2,16044.648310502209,0,1
4,0.3,2,16111.223614695165,0,1
4,0.3,2,16177.79891888812,0,1
4,0.3,2,16244.374223081075,0,1
4,0.3,2,16310.949527274031,0,0
4,0.3,2,16377.524831466986,0,1
4,0.3,2,16444.10013565994,0,0
4,0.3,2,16510.675439852897,0,0
4,0.3,2,16577.25074404585,0,0
4,0.3,2,16643.826048238807,0,1
4,0.3,2,16710.401352431763,0,2
4,0.3,2,16776.976656624716,1,2
4,0.3,2,16843.551960817673,0,0
4,0.3,2,16910.12726501063,0,0
4,0.3,2,16976.702569203582,0,1
4,0.3,2,17043.27787339654,0,0
4,0.3,2,17109.85317758949,0,0
4,0.3,2,17176.42848178245,0,1
4,0.3,2,17243.003785975405,0,0
4,0.3,2,17309.579090168358,0,0
4,0.3,2,17376.154394361314,0,0
4,0.3,2,17442.72969855427,0,1
4,0.3,2,17509.305002747224,0,1
4,0.3,2,17575.88030694018,0,0
4,0.3,2,17642.455611133137,0,1
4,0.3,2,17709.03091532609,0,0
4,0.3,2,17775.606219519046,0,1
4,0.3,2,17842.181523712003,0,0
4,0.3,2,17908.756827904956,0,2
4,0.3,2,17975.332132097912,0,1
4,0.3,2,18041.907436290865,0,2
4,0.3,2,18108.48274048382,0,0
4,0.3,2,18175.058044676778,0,0
4,0.3,2,18241.63334886973,0,1
4,0.3,2,18308.208653062688,0,0
4,0.3,2,18374.783957255644,0,0
4,0.3,2,18441.359261448597,0,1
4,0.3,2,18507.934565641553,0,1
4,0.3,2,18574.50986983451,0,0
4,0.3,2,18641.085174027463,0,1
4,0.3,2,18707.66047822042,0,1
4,0.3,2,18774.235782413372,0,0
4,0.3,2,18840.81108660633,0,0
4,0.3,2,18907.386390799285,2,2
4,0.3,2,18973.96169499224,0,0
4,0.3,2,19040.536999185195,0,0
4,0.3,2,19107.11230337815,0,2
4,0.3,2,19173.687607571104,2,2
4,0.3,2,19240.26291176406,0,1
4,0.3,2,19306.838215957017,0,0
4,0.3,2,19373.41352014997,0,0
4,0.3,2,19439.988824342927,0,1
4,0.3,2,19506.564128535883,0,0
4,0.3,2,19573.139432728836,0,1
4,0.3,2,19639.714736921793,0,1
4,0.3,2,19706.290041114746,0,2
4,0.3,2,19772.865345307702,0,0
4,0.3,2,19839.44064950066,0,2
4,0.3,2,19906.01595369361,0,0
4,0.3,2,19972.59125788657,0,0
4,0.3,2,20039.166562079525,0,0
4,0.3,2,20105.741866272478,0,1
4,0.3,2,20172.317170465434,0,1
4,0.3,2,20238.89247465839,0,0
4,0.3,2,20305.467778851344,0,0
4,0.3,2,20372.0430830443,0,0
4,0.3,2,20438.618387237253,0,0
4,0.3,2,20505.19369143021,0,0
4,0.3,2,20571.768995623166,0,0
4,0.3,2,20638.34429981612,0,2
4,0.3,2,20704.919604009076,0,0
4,0.3,2,20771.494908202032,0,1
4,0.3,2,20838.070212394985,0,0
4,0.3,2,20904.64551658794,0,0
4,0.3,2,20971.220820780898,1,2
4,0.3,2,21037.79612497385,0,0
4,0.3,2,21104.371429166808,0,1
4,0.3,2,21170.946733359764,0,0
4,0.3,2,21237.522037552717,0,2
4,0.3,2,21304.097341745673,0,0
4,0.3,2,21370.672645938626,0,2
4,0.3,2,21437.247950131583,3,2
4,0.3,2,21503.82325432454,0,2
4,0.3,2,21570.398558517492,0,1
4,0.3,2,21636.97386271045,0,0
4,0.3,2,21703.549166903405,0,0
4,0.3,2,21770.12447109636,0,0
4,0.3,2,21836.699775289315,0,1
4,0.3,2,21903.27507948227,0,0
4,0.3,2,21969.850383675224,0,0
4,0.3,2,22036.42568786818,0,0
4,0.3,2,22103.000992061134,0,0
4,0.3,2,22169.57629625409,0,0
4,0.3,2,22236.151600447047,0,0
4,0.3,2,22302.72690464,0,1
4,0.3,2,22369.302208832956,0,1
4,0.3,2,22435.877513025913,0,1
4,0.3,2,22502.452817218866,0,2
