t,S,I,R
3.53,962.7714344664,23.298056542656322,13.93050899094282
3.54,962.6590450003564,23.35213329478874,13.988821704854066
3.55,962.5464078661432,23.406322382825927,14.04726975103
3.56,962.4335226122397,23.46062397723601,14.105853410523489
3.57,962.320388786749,23.515038248436625,14.16457296481349
3.58,962.2070059374012,23.569565366793043,14.223428695804952
3.59,962.0933736115542,23.624205502616277,14.28242088582866
3.6,961.9794913561968,23.6789588261612,14.341549817641118
3.61,961.8653587179501,23.733825507624616,14.400815774424382
3.62,961.7509752430698,23.78880571714337,14.460219039785937
3.63,961.6363404774481,23.84389962479239,14.519759897758524
3.64,961.5214539666163,23.89910740058279,14.5794386328
3.65,961.406315255746,23.954429214459896,14.63925552979316
3.66,961.2909238896522,24.009865236301312,14.699210874045587
3.67,961.1752794127947,24.06541563591494,14.75930495128946
3.68,961.0593813692807,24.121080583037024,14.819538047681402
3.69,960.9432293028667,24.176860247330165,14.87991044980227
3.7,960.8268227569608,24.232754798381333,14.940422444657
3.71,960.710161274625,24.28876440569985,15.001074319674384
3.72,960.5932443985769,24.34488923871541,15.061866362706898
3.73,960.4760716711927,24.40112946677603,15.122798862030482
3.74,960.3586426345088,24.45748525914605,15.183872106344353
3.75,960.2409568302244,24.51395678500407,15.24508638477077
3.76,960.1230137997035,24.57054421344092,15.306441986854837
3.77,960.0048130839773,24.62724771345761,15.367939202564274
3.78,959.8863542237468,24.68406745396323,15.429578322289183
3.79,959.7676367593845,24.741003603772917,15.491359636841828
3.8,959.6486602309371,24.798056331605736,15.553283437456384
3.81,959.5294241781279,24.85522580608261,15.615350015788712
3.82,959.4099281403589,24.9125121957242,15.677559663916087
3.83,959.2901716567135,24.9699156689488,15.73991267433697
3.84,959.1701542659583,25.027436394070204,15.80240933997073
3.85,959.0498755065463,25.085074539295583,15.865049954157392
3.86,958.9293349166186,25.142830272723334,15.92783481065736
3.87,958.8085320340072,25.20070376234094,15.990764203651151
3.88,958.6874663962374,25.258695176022787,16.0538384277391
3.89,958.5661375405301,25.316804681528016,16.117057777941103
3.9,958.4445450038046,25.375032446498324,16.18042254969628
3.91,958.3226883226807,25.433378638455782,16.243933038862735
3.92,958.2005670334814,25.491843424800624,16.307589541717203
3.93,958.0781806722355,25.550426972809056,16.37139235495478
3.94,957.9555287746797,25.60912944963101,16.435341775688578
3.95,957.8326108762619,25.667951022287934,16.499438101449446
3.96,957.7094265121432,25.726891857670534,16.563681630185606
3.97,957.5859752172004,25.785952122536546,16.628072660262355
3.98,957.4622565260291,25.845131983508452,16.692611490461697
3.99,957.338269972946,25.904431607071235,16.757298419982043
4.0,957.2140150919914,25.963851159570073,16.82213374843782
