time,cwnd_first,cwnd_mean,queue,average_queue,drop_probability,throughput_mbps
24.192,41.49902835696633,29.33783005786737,118.52272359543468,51.18530235695603,0.0,20.0
24.194,41.51314223033549,29.351943931236537,118.87448405450334,51.32068072035113,0.0,20.0
24.196,41.52724910006341,29.366050800964448,119.22608528697899,51.45649152948438,0.0,20.0
24.198,41.5413489762629,29.380150677163943,119.57752730602212,51.59273360103745,0.0,20.0
24.2,41.55544186902681,29.39424356992786,119.92881012803753,51.72940575409145,0.0,20.0
24.202,41.56952778842793,29.408329489328978,120.27993377261342,51.8665068101285,0.0,20.0
24.204,41.583606744519074,29.42240844542011,120.6308982624619,52.004035593033166,0.0,20.0
24.206,41.597678747332985,29.436480448234025,120.98170362336015,52.14199092909382,0.0,20.0
24.208,41.61174380688239,29.450545507783428,121.33234988409285,52.28037164700382,0.0,20.0
24.21,41.62580193315997,29.46460363406101,121.68283707639551,52.4191765778626,0.0,20.0
24.212,41.63985313613836,29.478654837039404,122.03316523489872,52.55840455517667,0.0,20.0
24.214,41.653897425770154,29.492699126671194,122.38333439707336,52.698054414860465,0.0,20.0
24.216,41.66793481198788,29.50673651288892,122.73334460317693,52.838124995237095,0.0,20.0
24.218,41.68196530470401,29.52076700560506,123.08319589620055,52.97861513703902,0.0,20.0
24.22,41.69598891381098,29.53479061471203,123.43288832181699,53.11952368340857,0.0,20.0
24.222,41.71000564918117,29.548807350082214,123.7824219283296,53.26084947989841,0.0,20.0
24.224,41.72401552066692,29.562817221567965,124.13179676662213,53.40259137447186,0.0,20.0
24.226,41.738018538100505,29.57682023900155,124.4810128901093,53.544748217503134,0.0,20.0
24.228,41.75201471129418,29.590816412195217,124.83007035468836,53.6873188617775,0.0,20.0
24.23,41.76600405004015,29.604805750941196,125.17896921869135,53.83030216249133,0.0,20.0
24.232,41.779986564110615,29.61878826501166,125.52770954283827,53.97369697725202,0.0,20.0
24.234,41.79396226325774,29.63276396415877,125.87629139019103,54.1175021660779,0.0,20.0
24.236,41.80793115721368,29.646732858114714,126.22471482610817,54.261716591397956,0.0,20.0
24.238,41.82189325569059,29.660694956591623,126.57297991820033,54.40633911805156,0.0,20.0
24.24,41.83584856838064,29.674650269281678,126.92108673628658,54.55136861328803,0.0,20.0
24.242,41.84979710495602,29.68859880585706,127.26903535235138,54.69680394676615,0.0,20.0
24.244,41.86373887506894,29.70254057596998,127.61682584050232,54.842643990553626,0.0,20.0
24.246,41.87767388835167,29.716475589252713,127.96445827692867,54.98888761912637,0.0,20.0
24.248,41.89160215441654,29.730403855317583,128.31193273986045,55.13553370936784,0.0,20.0
24.25,41.90552368285594,29.744325383756983,128.65924930952843,55.28258114056816,0.0,20.0
24.252,41.91943848324237,29.758240184143407,129.0064080681246,55.43002879442328,0.0,20.0
24.254,41.93334656512841,29.77214826602944,129.3534090997635,55.57787555503396,0.0,20.0
24.256,41.947247938046786,29.786049638947826,129.70025249044397,55.72612030890478,0.0,20.0
24.258,41.961142611510354,29.79994431241139,130.04693832801192,55.874761944942996,0.0,20.0
24.26,41.97503059501212,29.81383229591316,130.39346670212336,56.02379935445736,0.0,20.0
24.262,41.98891189802529,29.82771359892633,130.7398377042083,56.173231431156864,0.0,20.0
24.264,42.002786530003256,29.841588230904286,131.08605142743517,56.32305707114942,0.0,20.0
24.266,42.016654500379616,29.85545620128065,131.43210796667586,56.473275172940475,0.0,20.0
24.268,42.03051581856822,29.86931751946925,131.77800741847145,56.62388463743154,0.0,20.0
24.27,42.04437049396317,29.88317219486421,132.12374988099833,56.77488436791867,0.0,20.0
24.272,42.05821853593887,29.897020236839907,132.46933545403508,56.92627327009091,0.0,20.0
24.274,42.07205995385001,29.910861654751038,132.81476423892985,57.07805025202859,0.0,20.0
24.276,42.08589475703161,29.924696457932637,133.16003633856832,57.230214224201674,0.0,20.0
24.278,42.09972295479905,29.93852465570008,133.50515185734213,57.382764099467956,0.0,20.0
24.28,42.11354455644809,29.952346257349117,133.85011090111797,57.535698793071255,0.0,20.0
24.282,42.127359571254885,29.966161272155915,134.19491357720707,57.68901722263953,0.0,20.0
24.284,42.14116800847603,29.979969709377052,134.53955999433535,57.84271830818292,0.0,20.0
24.286,42.154969877348556,29.99377157824958,134.88405026261395,57.996800972091776,0.0,20.0
24.288,42.168765187089996,30.007566887991015,135.22838449351036,58.15126413913461,0.0,20.0
24.29,42.18255394689837,30.021355647799396,135.57256279982,58.30610673645598,0.0,20.0
24.292,42.19633616595227,30.035137866853287,135.91658529563824,58.46132769357435,0.0,20.0
